2026-01-25T12:47:20.162911 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:20.173904 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.438774 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.446839 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.770449 START run_configs_and_collect out_prefix=auto_test_h1_final n_cfgs=24
2026-01-25T12:47:25.770449 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.787065 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.796981 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.813119 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.822144 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.837085 START config {'hypothesis': 'H1_ingest', 'n_docs': 10000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.851660 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.867859 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.929336 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.940803 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.948158 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.964974 START config {'hypothesis': 'H1_ingest', 'n_docs': 50000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:25.972651 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:25.989287 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:30.701888 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:33.589433 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:33.603711 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:40.020461 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:47:40.032815 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:47:44.903258 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:03.163194 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:20.168899 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:22.879871 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:35.821629 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:35.837454 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:45.409732 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:45.423768 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:46.152982 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:46.152982 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 500, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:49.141974 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:49.145566 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:53.191893 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:53.202344 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:48:54.671168 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'pinecone', 'sample_queries': 200}
2026-01-25T12:48:54.677148 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 1000, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:49:06.246777 FINISH run_configs_and_collect out_prefix=auto_test_h1_final written_csv=C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_summary_1769341746.csv
2026-01-25T12:49:17.061222 FINISH run_configs_and_collect out_prefix=auto_test_h1_final written_csv=C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_h1_final_summary_1769341757.csv
2026-01-25T12:49:22.416729 START run_configs_and_collect out_prefix=auto_test_rerun2 n_cfgs=6
2026-01-25T12:49:22.416729 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:49:56.256552 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:49:56.325143 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:49:56.333514 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:51:36.419354 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:51:36.457909 START config {'hypothesis': 'H1_ingest', 'n_docs': 500000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:51:36.482535 FINISH run_configs_and_collect out_prefix=auto_test_rerun2 written_csv=C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_rerun2_summary_1769341896.csv
2026-01-25T12:52:23.232512 START run_configs_and_collect out_prefix=auto_test_rerun2 n_cfgs=6
2026-01-25T12:52:23.232512 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:52:23.234741 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
2026-01-25T12:52:23.237776 START config {'hypothesis': 'H1_ingest', 'n_docs': 100000, 'batch_size': 100, 'model_name': 'dummy', 'dim': 512, 'target_db': 'weaviate', 'sample_queries': 200}
