file,n_docs,batch_size,model,p@5,r@5,map,query_latency_mean_s,encode_total_s
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_300000_1769366650.json,300000,256,bert,0.0,0.0,,0.03138850688934326,12.435056447982788
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_300000_1769366659.json,300000,256,sentence_transformer,0.0,0.0,,0.03702689409255981,11.37423849105835
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_400000_1769366687.json,400000,256,bert,0.05200000000000001,0.26,0.24116666666666667,0.049731264114379885,13.992351770401001
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_400000_1769366722.json,400000,256,sentence_transformer,0.04800000000000001,0.24,0.2280867269984917,0.08945205211639404,17.276681184768677
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_500000_1769366762.json,500000,256,bert,0.07200000000000001,0.36,0.3036666666666667,0.06462525844573974,18.888347148895264
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_500000_1769366801.json,500000,256,sentence_transformer,0.0,0.0,,0.07797977447509766,21.069385290145874
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_600000_1769366839.json,600000,256,bert,0.060000000000000005,0.3,0.24904761904761905,0.07161219120025634,21.352915287017822
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_600000_1769366875.json,600000,256,sentence_transformer,0.04666666666666666,0.23333333333333334,0.1809437321937322,0.07274364630381266,20.856197357177734
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_800000_1769366920.json,800000,256,bert,0.04,0.2,0.185,0.10972001552581787,26.942058324813843
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_missing_remaining_H3_model_effect_800000_1769366976.json,800000,256,sentence_transformer,0.0,0.0,,0.2115885655085246,31.975367069244385
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_200000_1769363124.json,200000,256,bert,0.05040000000000001,0.252,0.22823662705543513,0.027138638496398925,10.293320178985596
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_200000_1769363154.json,200000,256,sentence_transformer,0.05000000000000001,0.25,0.22913184870684872,0.03827990293502807,10.068650245666504
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_300000_1769363252.json,300000,256,bert,0.04800000000000001,0.24,0.20922526975661648,0.05322006940841675,9.316740989685059
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_300000_1769363279.json,300000,256,sentence_transformer,0.06466666666666666,0.3233333333333333,0.30427697730832404,0.049409234523773195,9.543590545654297
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_400000_1769363315.json,400000,256,bert,0.053333333333333344,0.26666666666666666,0.24138433754068425,0.07233520746231079,13.736189842224121
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_400000_1769363423.json,400000,256,sentence_transformer,0.04133333333333334,0.20666666666666667,0.19003889900948726,0.0767900824546814,13.373438835144043
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_500000_1769363525.json,500000,256,bert,0.040999999999999995,0.205,0.19150961538461536,0.1050912618637085,22.860031127929688
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_500000_1769363655.json,500000,256,sentence_transformer,0.04300000000000001,0.215,0.19826984126984126,,27.83084464073181
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_50000_1769362917.json,50000,256,bert,0.059199999999999996,0.296,0.26074853634497597,,1.736741542816162
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_H3_model_effect_50000_1769362925.json,50000,256,sentence_transformer,0.0604,0.302,0.2633537069913231,,1.7450573444366455
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_small_samples_H3_model_effect_50000_1769366535.json,50000,256,bert,0.08199999999999999,0.41,0.3663164651825642,0.005662142038345337,1.6839747428894043
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_local_rerun_specific_small_samples_H3_model_effect_50000_1769366541.json,50000,256,sentence_transformer,0.077,0.385,0.33871001221001223,0.0057032310962677,1.7506685256958008
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_1000000_1769292645.json,1000000,256,bert,0.0,0.0,,,42.51927089691162
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_100000_1769292583.json,100000,256,bert,0.0,0.0,,,3.9338815212249756
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_10000_1769292575.json,10000,256,bert,0.0,0.0,,,0.3923928737640381
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_200000_1769292702.json,200000,256,sentence_transformer,0.0,0.0,,,10.702677726745605
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_300000_1769292738.json,300000,256,bert,0.0,0.0,,,14.622371673583984
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_400000_1769292786.json,400000,256,sentence_transformer,0.0,0.0,,,20.937180519104004
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_500000_1769292846.json,500000,256,bert,0.0,0.0,,,26.28802800178528
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_50000_1769292676.json,50000,256,sentence_transformer,0.0,0.0,,,2.6070573329925537
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_600000_1769292904.json,600000,256,sentence_transformer,0.0,0.0,,,30.752723932266235
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_H3_model_effect_800000_1769292976.json,800000,256,bert,0.0,0.0,,,28.6380136013031
C:\Users\DELL\Documents\GitHub\SiVBP\experiments\results\auto_test_scaled_H3_model_effect_10000_1769294814.json,10000,256,bert,0.0,0.0,,,0.5494227409362793
